b,critic_loss,policy_loss,steps,walltime
1.0,1.120328,1.2648802e-08,1,0
1.0,0.9107265,1.1336553e-08,2,0.061797380447387695
1.0,0.95261794,1.1219391e-08,3,0.1549391746520996
1.0,1.0197393,1.2073071e-08,4,0.23933696746826172
1.0,0.8688009,1.080051e-08,5,0.328153133392334
1.0,0.99012953,8.373574e-09,6,0.38031435012817383
1.0,1.0970305,7.997862e-09,7,0.43140244483947754
1.0,0.8823736,8.4968255e-09,8,0.4887199401855469
1.0,1.0971844,7.549334e-09,9,0.5269145965576172
1.0,0.83045554,6.732388e-09,10,0.5889096260070801
1.0,0.8961512,6.4025016e-09,11,0.6617462635040283
1.0,0.9251622,7.738053e-09,12,0.7222721576690674
1.0,0.83363825,5.627033e-09,13,0.7885372638702393
1.0,0.8622296,5.408814e-09,14,0.8565630912780762
1.0,0.88944703,4.3351767e-09,15,0.9174103736877441
1.0,0.9124893,3.772534e-09,16,0.9537515640258789
1.0,0.88129735,2.821771e-09,17,1.0317926406860352
1.0,0.8635042,2.390735e-09,18,1.0916075706481934
1.0,0.72661114,2.0981425e-09,19,1.1445772647857666
1.0,0.7490076,2.5590494e-09,20,1.2126877307891846
1.0,0.79798484,2.4464917e-09,21,1.2471859455108643
1.0,0.7900935,2.5929587e-09,22,1.2979490756988525
1.0,0.9483747,2.8089033e-09,23,1.366549015045166
1.0,0.71820784,3.1534246e-09,24,1.3988406658172607
1.0,0.86615837,4.209974e-09,25,1.4465384483337402
1.0,0.9291682,5.2204427e-09,26,1.4991319179534912
1.0,0.8750702,8.03372e-09,27,1.5652198791503906
1.0,0.8413249,8.9296694e-09,28,1.5989642143249512
1.0,0.81520575,1.1673942e-08,29,1.6667611598968506
1.0,0.76096225,1.5943394e-08,30,1.7061257362365723
1.0,0.8363857,1.7025602e-08,31,1.7730743885040283
1.0,0.88145167,2.3541777e-08,32,1.8316988945007324
1.0,0.8470006,2.5212271e-08,33,1.8767595291137695
1.0,0.8386488,3.8784652e-08,34,1.9101998805999756
1.0,0.7312391,3.206011e-08,35,1.9801464080810547
1.0,0.6552698,4.1812e-08,36,2.0314218997955322
1.0,0.9332779,4.0408576e-08,37,2.0869102478027344
1.0,0.7718066,4.1062297e-08,38,2.1409003734588623
1.0,0.72036874,5.1140418e-08,39,2.175551652908325
1.0,0.7963617,6.9422306e-08,40,2.2271335124969482
1.0,0.78451085,8.7912014e-08,41,2.2708253860473633
1.0,0.8069281,1.0889232e-07,42,2.3413772583007812
1.0,0.7266066,1.003519e-07,43,2.387390375137329
1.0,0.76484257,9.105311e-08,44,2.423943042755127
1.0,0.8346096,1.2637176e-07,45,2.467843532562256
1.0,0.7728038,1.9421185e-07,46,2.51784610748291
1.0,0.7730434,1.8647968e-07,47,2.5657222270965576
1.0,0.7179081,1.8290783e-07,48,2.635718822479248
1.0,0.66210616,1.7416612e-07,49,2.691746711730957
1.0,0.74261457,2.7474243e-07,50,2.7424824237823486
1.0,0.7958422,1.6463905e-07,51,2.780261516571045
1.0,0.55861723,2.70752e-07,52,2.8405797481536865
1.0,0.70206624,3.006144e-07,53,2.8953795433044434
1.0,0.7530078,2.9126113e-07,54,2.9307265281677246
1.0,0.767712,2.880122e-07,55,2.9922189712524414
1.0,0.7407291,3.3734548e-07,56,3.0499942302703857
1.0,0.7513764,3.4517348e-07,57,3.087117910385132
1.0,0.8006502,3.4745833e-07,58,3.1413960456848145
1.0,0.63353693,3.3822207e-07,59,3.207975149154663
1.0,0.7159253,3.217457e-07,60,3.2676405906677246
1.0,0.75462383,3.446802e-07,61,3.328563690185547
1.0,0.62260944,3.920087e-07,62,3.3775079250335693
1.0,0.777835,4.2448835e-07,63,3.4263925552368164
1.0,0.76206815,5.5122047e-07,64,3.478573799133301
1.0,0.8554573,4.400353e-07,65,3.5074236392974854
1.0,0.74703956,4.4719218e-07,66,3.57448410987854
1.0,0.6397059,5.286669e-07,67,3.6108767986297607
1.0,0.67021006,4.775251e-07,68,3.6705737113952637
1.0,0.77651167,5.1301754e-07,69,3.7296299934387207
1.0,0.6981507,4.1416655e-07,70,3.7922523021698
1.0,0.7996037,4.020177e-07,71,3.8509140014648438
1.0,0.6319233,4.3114727e-07,72,3.899522066116333
1.0,0.76020813,5.396424e-07,73,3.9491875171661377
1.0,0.6441829,6.121945e-07,74,4.008225202560425
1.0,0.78377855,5.9792916e-07,75,4.068001985549927
1.0,0.8125593,6.820619e-07,76,4.123581171035767
1.0,0.7445652,5.222345e-07,77,4.156230449676514
1.0,0.79169285,4.7448773e-07,78,4.228500604629517
1.0,0.7364246,5.8640387e-07,79,4.2816362380981445
1.0,0.752419,5.6453626e-07,80,4.335418701171875
1.0,0.7890227,4.4980862e-07,81,4.3967320919036865
1.0,0.6644659,6.7602826e-07,82,4.439906120300293
1.0,0.82291585,5.830252e-07,83,4.491186618804932
1.0,0.8209653,6.879412e-07,84,4.542668581008911
1.0,0.76840544,4.627799e-07,85,4.612842321395874
1.0,0.7023197,6.279826e-07,86,4.678540468215942
1.0,0.7489021,6.569016e-07,87,4.7394092082977295
1.0,0.67822725,6.902178e-07,88,4.793036699295044
1.0,0.7845774,6.3185263e-07,89,4.851816177368164
1.0,0.88994163,6.1440244e-07,90,4.891295433044434
1.0,0.8340736,7.4822935e-07,91,4.970047235488892
1.0,0.63241476,7.1877116e-07,92,5.0075013637542725
1.0,0.8394887,6.607254e-07,93,5.082258224487305
1.0,0.83583015,6.2206516e-07,94,5.152613401412964
1.0,0.6643442,8.34371e-07,95,5.212927341461182
1.0,0.78434116,7.2428344e-07,96,5.2639007568359375
1.0,0.78751665,1.0434442e-06,97,5.292449712753296
1.0,0.7693257,7.155603e-07,98,5.346853494644165
1.0,0.8196113,7.909108e-07,99,5.410391092300415
1.0,0.90437967,5.7940326e-07,100,5.440798282623291
1.0,1.1375306,6.2073434e-07,101,5.509315729141235
1.0,1.2132052,8.86086e-07,102,5.564624309539795
1.0,1.1788617,7.774087e-07,103,5.622634649276733
1.0,1.1473242,8.004433e-07,104,5.654799222946167
1.0,1.1503074,8.46908e-07,105,5.719835996627808
1.0,0.9727046,9.1673087e-07,106,5.775281667709351
1.0,1.1406878,8.529922e-07,107,5.826214551925659
1.0,1.1132637,1.086861e-06,108,5.887325763702393
1.0,0.96254313,1.0542432e-06,109,5.938760042190552
1.0,1.1083668,8.939224e-07,110,5.996734142303467
1.0,1.1011798,1.0301585e-06,111,6.0532636642456055
1.0,1.0598679,1.0971592e-06,112,6.112048387527466
1.0,1.1639713,1.00706e-06,113,6.174251079559326
1.0,1.1253881,1.0551565e-06,114,6.226009368896484
1.0,1.1292133,1.2364394e-06,115,6.280195713043213
1.0,1.0331604,9.4092366e-07,116,6.341407299041748
1.0,1.0679159,1.4093837e-06,117,6.381793975830078
1.0,1.1358936,1.1650974e-06,118,6.44586968421936
1.0,1.226584,1.3773051e-06,119,6.503770112991333
1.0,1.082814,1.4610159e-06,120,6.561342477798462
1.0,1.0778776,1.4157415e-06,121,6.599358081817627
1.0,1.0472286,1.1383066e-06,122,6.67498254776001
1.0,1.0891087,1.3692506e-06,123,6.7105302810668945
1.0,1.1177576,1.2387937e-06,124,6.787424087524414
1.0,1.1432009,1.2613526e-06,125,6.848722696304321
1.0,1.2201746,1.3509541e-06,126,6.909362077713013
1.0,1.1017625,1.0062555e-06,127,6.9672768115997314
1.0,1.173049,1.3140886e-06,128,7.005099534988403
1.0,1.0562887,1.3292644e-06,129,7.069106101989746
1.0,1.0611091,6.7906166e-07,130,7.127054929733276
1.0,0.99399096,1.4691814e-06,131,7.184364080429077
1.0,1.1109502,9.858616e-07,132,7.221139430999756
1.0,0.9773993,1.1429929e-06,133,7.284423828125
1.0,1.1009432,1.0015893e-06,134,7.32544207572937
1.0,1.1370273,1.0561884e-06,135,7.398186683654785
1.0,1.1751325,1.5114275e-06,136,7.452335596084595
1.0,1.0812225,1.1806601e-06,137,7.509232044219971
1.0,1.0595847,1.0805788e-06,138,7.54574728012085
1.0,1.0178815,1.2601624e-06,139,7.610952615737915
1.0,1.0984707,1.36694e-06,140,7.668978691101074
1.0,1.0733637,1.1632249e-06,141,7.705435276031494
1.0,1.0844916,1.030104e-06,142,7.772811412811279
1.0,1.1919156,1.3524098e-06,143,7.831016302108765
1.0,1.1745663,1.0156299e-06,144,7.864306211471558
1.0,1.1458002,1.1261932e-06,145,7.918053150177002
1.0,1.0821735,6.543966e-07,146,7.969076156616211
1.0,1.2113367,1.1561169e-06,147,8.040831089019775
1.0,1.1535981,9.407101e-07,148,8.079851388931274
1.0,1.0831666,1.0882037e-06,149,8.12709641456604
