episode_length,episode_return,episodes,steps,steps_per_second
30,-16.758808,1,30,24.935613429694374
30,-2.1012797,2,60,329.405087581056
30,-1.8350431,3,90,338.2330472368347
30,-1.1506071,4,120,325.23565081186706
30,-15.654171,5,150,374.0350167949823
30,-14.358028,6,180,385.67130509409674
30,-2.753362,7,210,415.3489047625335
30,-10.380019,8,240,378.4459636258643
30,-4.8323917,9,270,380.86294831087935
30,-11.290894,10,300,374.69104076278734
30,-12.607525,11,330,414.4378058982787
30,2.9902935,12,360,362.652340699025
30,-17.729815,13,390,388.601358863496
30,-18.802935,14,420,400.6403667972108
30,-3.2508605,15,450,388.7874677501583
30,-10.294216,16,480,341.7885693021032
30,-5.6161623,17,510,419.67381081026997
30,-27.749191,18,540,418.2175690497557
30,3.9402342,19,570,434.1120702146598
30,-13.182764,20,600,420.82614003110314
30,-11.199718,21,630,400.53834155658126
30,-2.4117253,22,660,436.8717776010944
30,-22.274183,23,690,345.32957894910174
30,-5.4019117,24,720,417.8536987102002
30,-0.35567972,25,750,429.12870881931656
30,-17.563713,26,780,412.2841415465269
30,-14.841451,27,810,404.07293466323273
30,-6.673802,28,840,428.52367232677415
30,-8.559964,29,870,390.0710521421043
30,1.9726143,30,900,386.27274736609445
30,-4.300132,31,930,415.3009244743104
30,-15.154799,32,960,425.39586805637725
30,-7.456385,33,990,422.7262557069955
30,-3.6561239,34,1020,6.793724914793039
30,-18.214201,35,1050,119.90086169520403
30,6.686079,36,1080,135.6633567293075
30,-9.429835,37,1110,139.86343684315244
30,-10.692862,38,1140,130.6923116072161
30,-4.485242,39,1170,144.12045590167259
30,2.4527836,40,1200,154.7753632012635
30,19.497349,41,1230,168.75974201024394
30,-13.84857,42,1260,149.23321603802788
30,8.538158,43,1290,145.69508143952334
30,-19.492579,44,1320,157.71973497183512
30,-5.345194,45,1350,182.57431144206132
30,-10.499186,46,1380,150.52716577962323
30,-6.2079,47,1410,150.94790863167037
30,1.1525545,48,1440,148.74614035170674
30,-8.921605,49,1470,171.36954958488593
30,-16.264528,50,1500,140.5962224347686
30,-34.089462,51,1530,159.04383436978614
30,0.8957354,52,1560,134.67310265109757
